Where I can find Clinics?,Providers
I would like to know Pahrmacies locations?,Providers
Which Hospitals are included in the plan?,Providers
What are the Emergency ER included?,Providers
Can you provide the radiology center locations?,Providers
I am searching for good doctors?,Providers
Can you nominate good Pediatrics?,Providers
I need to find out dentals?,Providers
How can i reach out good dentists?,Providers
Can you nominate the locations of Labs?,Providers
Where can I find out good gynecologist?,Providers
I need a good Addiction psychiatrist?,Providers
How can I reach out an Adolescent medicine specialist?,Providers
How can I find out an Allergist (immunologist)?,Providers
Would you nominate a famous Anesthesiologist?,Providers
Where I can find a Cardiologist?,Providers
Can you provide the contact of Cardiovascular surgeon?,Providers
Can you provide information about a Colon and rectal surgeon?,Providers
I need to reach out to a Critical care medicine specialist?,Providers
Would you share the contacts of Dermatologists?,Providers
Can you share the information of a Developmental pediatrician?,Providers
I need to find out an Emergency medicine specialist?,Providers
I need to know about an Endocrinologist?,Providers
I would like to reach to a Family medicine physician?,Providers
Can you find out a Forensic pathologist?,Providers 
Can you search for Gastroenterologist,Providers
Can you provide a Geriatric medicine specialist?,Providers
Would you share the contacts of Gynecologic oncologist?,Providers
I would like to search for a Hand surgeon?,Providers
How to find out a good Hematologist?,Providers
Where can I find Hepatologist?,Providers
What are the Hospitalists included in your list?,Providers
What are the Hospice and palliative medicine specialist included in your providers list?,Providers
Where are the Hyperbaric physician included in your providers list?,Providers
Where are the good Hyperbaric physician?,Providers
What are the Internist that we can find within the providers?,Providers
I need to know about Interventional cardiologist?,Providers
I need to reach out to a Medical examiner?,Providers
Where are the Medical geneticist clinics?,Providers
I need to search for Neonatologist?,Providers
I would like to search for a good Nephrologist?,Providers
I need to reach out to a famous Neurological surgeon?,Providers
What are the list of Neurologist?,Providers
Please provide the Nuclear medicine specialist contacs?,Providers
Would you share the Obstetricians information?,Providers
Can you provide the list of Occupational medicine specialist?,Providers
What are the Oncologist list included?,Providers
Can you provide the list of Ophthalmologist?,Providers
Where can I find out Oral surgeon (maxillofacial surgeon)?,Providers
Can you recommend an Orthopedic surgeon?,Providers 
Can you advise about an Otolaryngologist (ear/noseand/throat specialist)?,Providers
How to get Pain management specialist contacts?,Providers
How to reach out to a Pathologist?,Providers
I need an advise about a Pediatrician?,Providers
How can I get an Perinatologist from your list?,Providers
What are the Physiatrist included in the providers?,Providers
What are the Plastic surgeon?,Providers
What are the Psychiatrist proposed?,Providers
What are the available Pulmonologist?,Providers
What is the list of Radiation oncologist available?,Providers
What are the Radiologist contributing in the providers list?,Providers
How can I reach out to the recommended Reproductive endocrinologist?,Providers
What is the advised Rheumatologist?,Providers
How can I find out Sleep disorders specialists?,Providers
How can I reach out to the recomended Spinal cord injury specialists?,Providers
What are the Sports medicine specialists participating in the providers list?,Providers
What are the advisable Surgeons?,Providers
What are the available Thoracic surgeons?,Providers
What are the Urologists contribution?,Providers 
What are the Vascular surgeons?,Providers
What are the proposed products and services and offers?,Products
What are the offered products?,Products
What are the proposed services?,Products
What are the Health insurance offeringe?,Products
How can I reach out Healthcare offers?,Products
What are the HealthCare insurance products proposed?,Products 
I want to take out Health insurance; but where do I begin?,Products
I would like to learn more about Health insurance offerings?,Products
How to find out your products?,Products
What are the offered plans?,Products
What are the included plans?,Products
How large is this community?,About
For How long has been involved in this industry?,About
What makes you different?,About
Why should I choose you?,About
How can I contact you?,About
Where are the offices near me?,About
How to contact you?,About
What is the contact information?,About
I need to know more about the company?,About
I need support?,About
I would like to contact the support team?,About
I have inquiries and I need to get support?,About
I need an additional support?,About
Can you provide support?,About
How do I make a medical claim?,Claim
Is there any time limitation to submitting my claim?,Claim
Is it possible to consolidate medical costs related to more than one health problem in one claim form?,Claim
What is the time limit that members have to submit their claim forms?,Claim 
What is the time period within which claims shall be reimbursed to members?,Claim
Where do I present my claim?,Claim
How will I be re-imbursement?,Claim
How do I follow up on my claim?,Claim
What are the claiming methods of payment?,Claim
What are the re-imbursement ways of payments?,Claim
How can I redeem the last reciept?,Claim
I would like to know how to make claim?,Claim
How to get a Claiming form?,Claim
I need to download a Claiming from?,Claim
How do I manage my policy?,Policy
Can I reduce my coverage?,Policy
How do I update my personal details?,Policy
In what frequency can I pay my premiums?,Policy
Do I get an acknowledgement of any premiums paid?,Policy
How often should I review my policy?,Policy
"Can all my children be insured in the ""family option""?",Policy
Can I start an insurance policy for my spouse?,Policy
Does your policy cover cost of medical treatment outside Egypt?,Policy
What are the requirements needed for members to receive treatment outside region ove coverage?,Policy
Does your policy cover the cost of specified medical operations that are already pre-arranged through one of the healthcare centres outside coverage area?,Policy
I have insurance provided by my employer. Can I add my family to this policy?,Policy
Can I increase the cover of this policy?,Policy
Am I insured when I'm travelling overseas?,Policy
Does your policy cover treatment of all types of health problems and diseases?,Policy
"Can all my children be insured in the ""family option""?",Policy
I would like to enroll a new family member?,Policy
What is the covergae policy?,Policy
How do I qualify for term Health insurance?,Policy
How much Health insurance do I need?,Policy
Is there any cash value with the term policy?,Policy
How could I get Health insurance?,Policy
How does critical illness insurance work?,Policy
How much disability income protection insurance coverage should I have?,Policy
I need to know the plocies and conditions?,Policy
